Feature,Num_Significant_Subjects
Question_Attention_Entropy,5
Story_ToM_Complex_Reasoning,5
Story_Working_Memory_Load,5
Story_TextBlob_Polarity,5
Story_Tense_Variety,5
Question_Complexity_Score,5
Question_Complex_Dependencies,5
Question_Sentiment_Positive,5
Question_Parse_Avg_Depth,5
Story_Emotion_Joy_Count,5
Question_MS_volitional_verbs_Total,5
Question_Composite_Readability,5
Question_Contradiction_Resolution,5
Question_Coordinate_Clauses,5
Story_MS_Clause_Count,5
Story_Entity_Network_Nodes,5
Story_Entity_Network_Density,5
Story_Emotional_Transitions,5
Story_False_Belief_Score,5
Question_Flesch_Reading_Ease.2,5
Question_Linsear_Write_Formula,5
Question_Linsear_Write,5
Question_Lexicon_Count,5
Question_Flesch_Reading_Ease.1,5
Question_Flesch_Reading_Ease,5
Story_Emotion_Anger_Count,5
Story_Discourse_conditional_Count,5
Question_Max_Dependency_Depth_Enhanced,5
Question_POS_Diversity,5
Question_POS_Diversity.1,5
Question_Max_Arc_Length,5
Question_Parse_Max_Depth,5
Story_Difficult_Words,5
Story_Difficult_Words.1,5
Question_Entity_Network_Nodes,5
Story_Recursive_MS_Max_Depth,5
Question_Discourse_contrast_Count,5
Question_Entity_Network_Edges,5
Question_Entity_Network_Density,5
Question_Entity_Count,5
Question_Entity_Count_Enhanced,5
Question_Entity_Density,5
Question_Entity_Relation_Depth,5
Story_MS_Contradictions,5
Story_MS_Embedding_Avg_Depth,5
Story_MS_Embedding_Max_Depth,5
Story_MS_Total_Args,5
Story_MS_cognitive_verbs_basic_Count,5
Story_MS_cognitive_verbs_Total,5
Story_MS_emotional_verbs_Total,5
Story_MS_emotional_verbs_basic_Count,5
Story_Recursive_MS_Chains,5
Story_MS_perceptual_verbs_general_Count,5
Story_Predicate_Count,5
Story_Perspective_Shifts,5
Question_Dep_Depth_Variance,5
Question_Dep_Max_Depth,5
Story_Sentiment_Negative,5
Story_Sentiment_Compound,5
Story_Mental_State_Interaction,5
Question_Cross_Sentence_Attention,5
Question_Coordinate_Clauses.1,5
Story_Perspective_Complexity,5
Question_Dep_Avg_Depth,5
Story_Semantic_Mental_State_Depth,5
Story_MS_volitional_verbs_decision_Count,5
Question_Coleman_Liau_Index,5
Question_Clause_Ratio,5
Question_Coleman_Liau,5
Question_Char_Count,5
Question_Clause_Count,5
Question_Avg_Word_Length_Enhanced,5
Question_Avg_Sentence_Length,5
Question_Avg_Dependency_Depth_Enhanced,5
Question_Alpha_Char_Ratio,5
Question_Avg_Arc_Length,4
Story_Readability_Composite,4
Story_Character_Introduction,4
Question_Arc_Avg_Length,4
Question_Sentiment_Compound,4
Question_Entity_Type_Diversity.1,4
Question_Hedging_Count,4
Question_Entity_Type_Diversity,4
Question_Readability_Composite,4
Story_Composite_Readability,4
Story_Discourse_contrast_Count,4
Story_ToM_perspective_taking_Count,3
Story_ToM_mental_state_attribution_Count,3
Question_Uncertainty_Level,3
Story_Alpha_Char_Ratio,3
Story_Concrete_Word_Count,3
Story_MS_emotional_verbs_complex_Count,3
Story_Perspective_Markers,3
Story_SMOG_Index,3
Story_SMOG_Index.1,3
Question_Complexity_Variance,3
Question_MS_volitional_verbs_intention_Count,3
