Metric,Subject,Correlation,P_Value,Significant,N_Points,Abs_Correlation
Story_Cognitive_Load_Index,Human,-0.9311774539468101,0.006941823798815337,True,6,0.9311774539468101
Story_Cognitive_Load_Index,Llama 3.1 70B,0.6690036129502619,0.14620616061115452,False,6,0.6690036129502619
Story_Cognitive_Load_Index,Qwen 2.5 32B,0.5158791238341158,0.29482709755025843,False,6,0.5158791238341158
Story_Cognitive_Load_Index,OLMo 13B,0.6944953489139821,0.12574279092483995,False,6,0.6944953489139821
Story_Cognitive_Load_Index,Mistral 7B,0.549385729602117,0.2588304915835948,False,6,0.549385729602117
Story_Cognitive_Load_Index,Phi-3 Mini,0.5818870307288204,0.22568075094220705,False,6,0.5818870307288204
Story_Cognitive_Load_Index,InternLM 1.8B,0.6256467591737199,0.18397952648187987,False,6,0.6256467591737199
Story_Mental_State_Interaction,Human,-0.8700623760532222,0.02422875964977134,True,6,0.8700623760532222
Story_Mental_State_Interaction,Llama 3.1 70B,0.43324173642083963,0.3907967862100188,False,6,0.43324173642083963
Story_Mental_State_Interaction,Qwen 2.5 32B,0.3858998227070637,0.4498841107255432,False,6,0.3858998227070637
Story_Mental_State_Interaction,OLMo 13B,0.6818919715679507,0.1356939686613562,False,6,0.6818919715679507
Story_Mental_State_Interaction,Mistral 7B,0.6290407922628659,0.18089211631323618,False,6,0.6290407922628659
Story_Mental_State_Interaction,Phi-3 Mini,0.5538364196375521,0.2541858166320441,False,6,0.5538364196375521
Story_Mental_State_Interaction,InternLM 1.8B,0.6029974615689897,0.20513053665780187,False,6,0.6029974615689897
Story_Inference_Complexity,Human,-0.14729430978868815,0.7806563555393743,False,6,0.14729430978868815
Story_Inference_Complexity,Llama 3.1 70B,-0.23744231598351617,0.6505298887889501,False,6,0.23744231598351617
Story_Inference_Complexity,Qwen 2.5 32B,-0.2210640501959635,0.6738055489795725,False,6,0.2210640501959635
Story_Inference_Complexity,OLMo 13B,0.0459055700350203,0.9311900138416138,False,6,0.0459055700350203
Story_Inference_Complexity,Mistral 7B,-0.05798768924399253,0.9131159600271207,False,6,0.05798768924399253
Story_Inference_Complexity,Phi-3 Mini,-0.12447207476419118,0.814256129289629,False,6,0.12447207476419118
Story_Inference_Complexity,InternLM 1.8B,-0.08518203308356509,0.872535989886057,False,6,0.08518203308356509
Question_Cognitive_Load_Index,Human,-0.12763609003367613,0.8095855229007061,False,6,0.12763609003367613
Question_Cognitive_Load_Index,Llama 3.1 70B,0.13320177322238033,0.8013790205424635,False,6,0.13320177322238033
Question_Cognitive_Load_Index,Qwen 2.5 32B,0.21218116705123283,0.6865045374212869,False,6,0.21218116705123283
Question_Cognitive_Load_Index,OLMo 13B,0.3597186145736433,0.483695419557501,False,6,0.3597186145736433
Question_Cognitive_Load_Index,Mistral 7B,0.28223289077513103,0.5878913513953433,False,6,0.28223289077513103
Question_Cognitive_Load_Index,Phi-3 Mini,0.25779488578909443,0.6218739637603434,False,6,0.25779488578909443
Question_Cognitive_Load_Index,InternLM 1.8B,0.11073097534242339,0.8345823925477359,False,6,0.11073097534242339
Story_Complexity_Gradient,Human,-0.6681064644129378,0.1469503912028354,False,6,0.6681064644129378
Story_Complexity_Gradient,Llama 3.1 70B,-0.0016525805407789085,0.9975211314454487,False,6,0.0016525805407789085
Story_Complexity_Gradient,Qwen 2.5 32B,-0.017142954433197743,0.974288087343528,False,6,0.017142954433197743
Story_Complexity_Gradient,OLMo 13B,0.2903031148312465,0.5767781056702083,False,6,0.2903031148312465
Story_Complexity_Gradient,Mistral 7B,0.3306434199897757,0.5221086777285461,False,6,0.3306434199897757
Story_Complexity_Gradient,Phi-3 Mini,0.18770274220353658,0.7217524881803642,False,6,0.18770274220353658
Story_Complexity_Gradient,InternLM 1.8B,0.3159410491644785,0.5418568460084773,False,6,0.3159410491644785
Story_Complexity_Variance,Human,-0.8672686785182301,0.025257201643071395,True,6,0.8672686785182301
Story_Complexity_Variance,Llama 3.1 70B,0.33755480348291905,0.5128988396725255,False,6,0.33755480348291905
Story_Complexity_Variance,Qwen 2.5 32B,0.26971258693305067,0.6052412244252217,False,6,0.26971258693305067
Story_Complexity_Variance,OLMo 13B,0.5943884060408409,0.21341538283436925,False,6,0.5943884060408409
Story_Complexity_Variance,Mistral 7B,0.5558867044623101,0.2520572264169217,False,6,0.5558867044623101
Story_Complexity_Variance,Phi-3 Mini,0.46205563402620503,0.356239927229348,False,6,0.46205563402620503
Story_Complexity_Variance,InternLM 1.8B,0.6032347164491534,0.20490410618331922,False,6,0.6032347164491534
Story_Working_Memory_Load,Human,-0.630874678315985,0.17923294557977357,False,6,0.630874678315985
Story_Working_Memory_Load,Llama 3.1 70B,0.322473071824525,0.533057199378657,False,6,0.322473071824525
Story_Working_Memory_Load,Qwen 2.5 32B,0.3243902024620828,0.5304823251744402,False,6,0.3243902024620828
Story_Working_Memory_Load,OLMo 13B,0.5090081228755441,0.30242708696113896,False,6,0.5090081228755441
Story_Working_Memory_Load,Mistral 7B,0.6450522570668022,0.1666222899112426,False,6,0.6450522570668022
Story_Working_Memory_Load,Phi-3 Mini,0.5189936524882981,0.2914061361407699,False,6,0.5189936524882981
Story_Working_Memory_Load,InternLM 1.8B,0.6728356895035386,0.14304547001361614,False,6,0.6728356895035386
Story_Attention_Switching_Cost,Human,-0.487243803570634,0.32697172354591275,False,6,0.487243803570634
Story_Attention_Switching_Cost,Llama 3.1 70B,-0.2777994785053246,0.5940200293502887,False,6,0.2777994785053246
Story_Attention_Switching_Cost,Qwen 2.5 32B,-0.3313241327922942,0.5211994669611868,False,6,0.3313241327922942
Story_Attention_Switching_Cost,OLMo 13B,0.010905450146069556,0.9836424732671794,False,6,0.010905450146069556
Story_Attention_Switching_Cost,Mistral 7B,0.08394707508004916,0.8743751795754314,False,6,0.08394707508004916
Story_Attention_Switching_Cost,Phi-3 Mini,-0.08989351042873059,0.8655229420389132,False,6,0.08989351042873059
Story_Attention_Switching_Cost,InternLM 1.8B,0.2746095711772685,0.5984398543140608,False,6,0.2746095711772685
Question_Complexity_Gradient,Human,0.21822424760620157,0.6778597467550371,False,6,0.21822424760620157
Question_Complexity_Gradient,Llama 3.1 70B,0.6287111661044967,0.1811910122458362,False,6,0.6287111661044967
Question_Complexity_Gradient,Qwen 2.5 32B,0.7330831581794861,0.0973587087970587,False,6,0.7330831581794861
Question_Complexity_Gradient,OLMo 13B,0.4171727256229292,0.41054183935820615,False,6,0.4171727256229292
Question_Complexity_Gradient,Mistral 7B,0.4258481271330835,0.39984087011679853,False,6,0.4258481271330835
Question_Complexity_Gradient,Phi-3 Mini,0.5583855502399626,0.24947242478528805,False,6,0.5583855502399626
Question_Complexity_Gradient,InternLM 1.8B,0.14497633568955187,0.7840590627742746,False,6,0.14497633568955187
Question_Working_Memory_Load,Human,0.4283451755089331,0.3967785351946228,False,6,0.4283451755089331
Question_Working_Memory_Load,Llama 3.1 70B,0.45800398251749175,0.36103123531785725,False,6,0.45800398251749175
Question_Working_Memory_Load,Qwen 2.5 32B,0.6440795101482886,0.1674751964660297,False,6,0.6440795101482886
Question_Working_Memory_Load,OLMo 13B,0.3602920297873567,0.48294677197403374,False,6,0.3602920297873567
Question_Working_Memory_Load,Mistral 7B,0.54055991269485,0.26813729079502235,False,6,0.54055991269485
Question_Working_Memory_Load,Phi-3 Mini,0.5714302660445484,0.23614989159302693,False,6,0.5714302660445484
Question_Working_Memory_Load,InternLM 1.8B,0.3281474615293135,0.5254463911578797,False,6,0.3281474615293135
Story_Meta_Uncertainty_Index,Human,-0.17340244871075053,0.7425032948275698,False,6,0.17340244871075053
Story_Meta_Uncertainty_Index,Llama 3.1 70B,0.16504144853745556,0.7546855827737009,False,6,0.16504144853745556
Story_Meta_Uncertainty_Index,Qwen 2.5 32B,0.2386765702083478,0.648783429722417,False,6,0.2386765702083478
Story_Meta_Uncertainty_Index,OLMo 13B,0.4283155812052807,0.3968147822867968,False,6,0.4283155812052807
